,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,snow,rain,message
118,"{'lon': 18.13, 'lat': -26.58}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 304.15, 'feels_like': 300.9, 'temp_min': 304.15, 'temp_max': 304.15, 'pressure': 1010, 'humidity': 15}",,"{'speed': 2.1, 'deg': 200}",{'all': 15},1586711036.0,"{'type': 1, 'id': 2264, 'country': 'NA', 'sunrise': 1586667722, 'sunset': 1586709233}",7200.0,3356264.0,Keetmanshoop,200,,,
119,"{'lon': 167.72, 'lat': -45.42}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 279.48, 'feels_like': 275.15, 'temp_min': 279.48, 'temp_max': 279.48, 'pressure': 985, 'humidity': 71, 'sea_level': 985, 'grnd_level': 960}",,"{'speed': 3.67, 'deg': 280}",{'all': 92},1586711036.0,"{'country': 'NZ', 'sunrise': 1586719307, 'sunset': 1586758626}",43200.0,2181625.0,Te Anau,200,,{'3h': 2.13},
120,"{'lon': -155.09, 'lat': 19.73}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 292.46, 'feels_like': 292.37, 'temp_min': 290.93, 'temp_max': 294.15, 'pressure': 1018, 'humidity': 73}",16093.0,"{'speed': 2.1, 'deg': 230}",{'all': 75},1586710790.0,"{'type': 1, 'id': 7881, 'country': 'US', 'sunrise': 1586707446, 'sunset': 1586752640}",-36000.0,5855927.0,Hilo,200,,,
121,,,,,,,,,,,,,404,,,city not found
122,"{'lon': 125.41, 'lat': -8.93}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 290.27, 'feels_like': 290.99, 'temp_min': 290.27, 'temp_max': 290.27, 'pressure': 1011, 'humidity': 76, 'sea_level': 1011, 'grnd_level': 856}",,"{'speed': 0.24, 'deg': 106}",{'all': 98},1586710774.0,"{'country': 'TL', 'sunrise': 1586727661, 'sunset': 1586770578}",32400.0,1651810.0,Airai,200,,{'3h': 0.13},
123,"{'lon': 119.9, 'lat': -2.97}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 292.42, 'feels_like': 293.08, 'temp_min': 292.42, 'temp_max': 292.42, 'pressure': 1012, 'humidity': 72, 'sea_level': 1012, 'grnd_level': 923}",,"{'speed': 0.91, 'deg': 291}",{'all': 60},1586711037.0,"{'country': 'ID', 'sunrise': 1586728754, 'sunset': 1586772130}",28800.0,1629974.0,Rantepao,200,,,
124,"{'lon': 102.5, 'lat': 71.97}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 256.35, 'feels_like': 249.54, 'temp_min': 256.35, 'temp_max': 256.35, 'pressure': 1020, 'humidity': 92, 'sea_level': 1020, 'grnd_level': 1017}",,"{'speed': 4.73, 'deg': 272}",{'all': 81},1586710789.0,"{'country': 'RU', 'sunrise': 1586639111, 'sunset': 1586697353}",25200.0,2022572.0,Khatanga,200,,,
125,"{'lon': 131.25, 'lat': -0.88}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 297.68, 'feels_like': 302.37, 'temp_min': 297.68, 'temp_max': 297.68, 'pressure': 1010, 'humidity': 89, 'sea_level': 1010, 'grnd_level': 1010}",,"{'speed': 0.47, 'deg': 213}",{'all': 76},1586711037.0,"{'country': 'ID', 'sunrise': 1586725950, 'sunset': 1586769486}",32400.0,1626542.0,Sorong,200,,{'3h': 0.94},
126,"{'lon': -15.54, 'lat': 27.91}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 292.52, 'feels_like': 284.01, 'temp_min': 288.15, 'temp_max': 296.15, 'pressure': 1016, 'humidity': 46}",10000.0,"{'speed': 11.3, 'deg': 10}",{'all': 20},1586711037.0,"{'type': 1, 'id': 2378, 'country': 'ES', 'sunrise': 1586673590, 'sunset': 1586719524}",3600.0,2511150.0,Santa Lucía,200,,,
127,,,,,,,,,,,,,404,,,city not found
128,"{'lon': -55.08, 'lat': -26.72}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 302.88, 'feels_like': 300.19, 'temp_min': 302.88, 'temp_max': 302.88, 'pressure': 1013, 'humidity': 17, 'sea_level': 1013, 'grnd_level': 988}",,"{'speed': 1.46, 'deg': 5}",{'all': 0},1586711037.0,"{'country': 'PY', 'sunrise': 1586685304, 'sunset': 1586726785}",-14400.0,3437681.0,Natalio,200,,,
129,"{'lon': -110.22, 'lat': 23.45}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 292.76, 'feels_like': 288.87, 'temp_min': 289.82, 'temp_max': 295.93, 'pressure': 1019, 'humidity': 49}",19312.0,"{'speed': 5.1, 'deg': 280}",{'all': 20},1586711038.0,"{'type': 1, 'id': 7165, 'country': 'MX', 'sunrise': 1586696514, 'sunset': 1586742038}",-21600.0,3981432.0,Todos Santos,200,,,
130,"{'lon': -52.73, 'lat': 47.67}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 279.75, 'feels_like': 271.81, 'temp_min': 278.71, 'temp_max': 280.93, 'pressure': 1015, 'humidity': 56}",24140.0,"{'speed': 8.2, 'deg': 280}",{'all': 40},1586710796.0,"{'type': 1, 'id': 998, 'country': 'CA', 'sunrise': 1586681199, 'sunset': 1586729762}",-9000.0,6167817.0,Torbay,200,,,
131,"{'lon': -46.02, 'lat': -1.2}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,"{'temp': 302.01, 'feels_like': 304.58, 'temp_min': 302.01, 'temp_max': 302.01, 'pressure': 1009, 'humidity': 76, 'sea_level': 1009, 'grnd_level': 1007}",,"{'speed': 4.8, 'deg': 27}",{'all': 99},1586711038.0,"{'country': 'BR', 'sunrise': 1586682114, 'sunset': 1586725627}",-10800.0,3402648.0,Carutapera,200,,{'3h': 4},
132,"{'lon': 126.17, 'lat': 6.37}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 300.19, 'feels_like': 302.9, 'temp_min': 300.19, 'temp_max': 300.19, 'pressure': 1011, 'humidity': 75, 'sea_level': 1011, 'grnd_level': 1009}",,"{'speed': 3.01, 'deg': 33}",{'all': 20},1586711038.0,"{'country': 'PH', 'sunrise': 1586726888, 'sunset': 1586770986}",28800.0,1698289.0,Pundaguitan,200,,,
133,"{'lon': 42.45, 'lat': 18.39}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 292.15, 'feels_like': 290.85, 'temp_min': 292.15, 'temp_max': 292.15, 'pressure': 1022, 'humidity': 77}",10000.0,"{'speed': 4.1, 'deg': 200}",{'all': 20},1586710781.0,"{'type': 1, 'id': 7396, 'country': 'SA', 'sunrise': 1586660120, 'sunset': 1586705163}",10800.0,110690.0,Faya,200,,,
134,"{'lon': 35.26, 'lat': -16.92}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 298.32, 'feels_like': 299.15, 'temp_min': 298.32, 'temp_max': 298.32, 'pressure': 1014, 'humidity': 62, 'sea_level': 1014, 'grnd_level': 1007}",,"{'speed': 2.42, 'deg': 111}",{'all': 85},1586711038.0,"{'country': 'MW', 'sunrise': 1586663205, 'sunset': 1586705529}",7200.0,924572.0,Nsanje,200,,,
135,"{'lon': -54.33, 'lat': -34.48}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 294.74, 'feels_like': 293.57, 'temp_min': 294.74, 'temp_max': 294.74, 'pressure': 1018, 'humidity': 52, 'sea_level': 1018, 'grnd_level': 1015}",,"{'speed': 2.26, 'deg': 30}",{'all': 84},1586711039.0,"{'country': 'UY', 'sunrise': 1586685502, 'sunset': 1586726228}",-10800.0,3440777.0,Rocha,200,,,
136,"{'lon': -66.9, 'lat': -4.88}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 296.75, 'feels_like': 301, 'temp_min': 296.75, 'temp_max': 296.75, 'pressure': 1013, 'humidity': 94, 'sea_level': 1013, 'grnd_level': 1004}",,"{'speed': 1.09, 'deg': 296}",{'all': 100},1586711039.0,"{'country': 'BR', 'sunrise': 1586687263, 'sunset': 1586730499}",-14400.0,3664659.0,Carauari,200,,{'3h': 0.29},
137,"{'lon': -90.35, 'lat': -0.74}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 301.01, 'feels_like': 303.41, 'temp_min': 300.93, 'temp_max': 301.15, 'pressure': 1014, 'humidity': 78}",10000.0,"{'speed': 4.6, 'deg': 290}",{'all': 75},1586710587.0,"{'type': 1, 'id': 8521, 'country': 'EC', 'sunrise': 1586692734, 'sunset': 1586736282}",-21600.0,3652764.0,Puerto Ayora,200,,,
138,"{'lon': 30.79, 'lat': 59.7}","[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}]",stations,"{'temp': 276.51, 'feels_like': 271.39, 'temp_min': 275.93, 'temp_max': 277.15, 'pressure': 1005, 'humidity': 93}",10000.0,"{'speed': 5, 'deg': 170, 'gust': 10}",{'all': 90},1586710790.0,"{'type': 1, 'id': 8926, 'country': 'RU', 'sunrise': 1586659728, 'sunset': 1586711152}",10800.0,546105.0,Nikolskoye,200,,,
139,"{'lon': -2.93, 'lat': 35.17}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 289.69, 'feels_like': 288.58, 'temp_min': 289.15, 'temp_max': 290.15, 'pressure': 1012, 'humidity': 93}",7000.0,"{'speed': 4.1, 'deg': 70}",{'all': 90},1586711039.0,"{'type': 1, 'id': 2380, 'country': 'MA', 'sunrise': 1586670170, 'sunset': 1586716892}",3600.0,2541479.0,Nador,200,,,
140,"{'lon': 108.27, 'lat': -2.88}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 300.33, 'feels_like': 304.8, 'temp_min': 300.33, 'temp_max': 300.33, 'pressure': 1009, 'humidity': 81, 'sea_level': 1009, 'grnd_level': 1009}",,"{'speed': 1.62, 'deg': 315}",{'all': 77},1586710787.0,"{'country': 'ID', 'sunrise': 1586645152, 'sunset': 1586688543}",25200.0,1636426.0,Manggar,200,,,
141,"{'lon': 94.52, 'lat': 25.97}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 286.33, 'feels_like': 283.81, 'temp_min': 286.33, 'temp_max': 286.33, 'pressure': 1010, 'humidity': 51, 'sea_level': 1010, 'grnd_level': 854}",,"{'speed': 1.52, 'deg': 111}",{'all': 16},1586711039.0,"{'country': 'IN', 'sunrise': 1586647289, 'sunset': 1586693005}",19800.0,1252653.0,Zunheboto,200,,,
142,"{'lon': -8.95, 'lat': 53.95}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 283.34, 'feels_like': 276.49, 'temp_min': 282.59, 'temp_max': 284.15, 'pressure': 1018, 'humidity': 62}",10000.0,"{'speed': 7.7, 'deg': 30}",{'all': 40},1586711040.0,"{'type': 1, 'id': 1555, 'country': 'IE', 'sunrise': 1586670056, 'sunset': 1586719895}",3600.0,2961299.0,Swinford,200,,,
143,"{'lon': -171, 'lat': 65.58}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 268.66, 'feels_like': 265.63, 'temp_min': 268.66, 'temp_max': 268.66, 'pressure': 1014, 'humidity': 97, 'sea_level': 1014, 'grnd_level': 1013}",,"{'speed': 0.61, 'deg': 116}",{'all': 100},1586710608.0,"{'country': 'RU', 'sunrise': 1586792993, 'sunset': 1586847498}",43200.0,4031637.0,Lavrentiya,200,,,
144,"{'lon': 115.13, 'lat': 50.52}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 282.33, 'feels_like': 277.4, 'temp_min': 282.33, 'temp_max': 282.33, 'pressure': 1014, 'humidity': 33, 'sea_level': 1014, 'grnd_level': 943}",,"{'speed': 3.13, 'deg': 331}",{'all': 73},1586711040.0,"{'country': 'RU', 'sunrise': 1586726972, 'sunset': 1586776201}",32400.0,2019118.0,Nizhniy Tsasuchey,200,,,
145,"{'lon': -114.06, 'lat': 27.98}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 289.82, 'feels_like': 285.66, 'temp_min': 289.82, 'temp_max': 289.82, 'pressure': 1019, 'humidity': 67, 'sea_level': 1019, 'grnd_level': 1019}",,"{'speed': 6.21, 'deg': 316}",{'all': 96},1586710837.0,"{'country': 'MX', 'sunrise': 1586697214, 'sunset': 1586743181}",-21600.0,4021858.0,Guerrero Negro,200,,,
146,"{'lon': 133.88, 'lat': -23.7}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 290.15, 'feels_like': 287.01, 'temp_min': 290.15, 'temp_max': 290.15, 'pressure': 1017, 'humidity': 42}",10000.0,"{'speed': 2.6, 'deg': 180}",{'all': 21},1586710776.0,"{'type': 1, 'id': 9483, 'country': 'AU', 'sunrise': 1586726232, 'sunset': 1586767942}",34200.0,2077895.0,Alice Springs,200,,,
147,"{'lon': 80.54, 'lat': 5.95}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 299.15, 'feels_like': 303.16, 'temp_min': 299.15, 'temp_max': 299.15, 'pressure': 1012, 'humidity': 86, 'sea_level': 1012, 'grnd_level': 1010}",,"{'speed': 2.15, 'deg': 33}",{'all': 17},1586711040.0,"{'country': 'LK', 'sunrise': 1586651478, 'sunset': 1586695526}",19800.0,1235846.0,Matara,200,,{'3h': 0.81},
148,"{'lon': 81.48, 'lat': 6.8}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 297.82, 'feels_like': 301.82, 'temp_min': 297.82, 'temp_max': 297.82, 'pressure': 1011, 'humidity': 89, 'sea_level': 1011, 'grnd_level': 998}",,"{'speed': 1.56, 'deg': 355}",{'all': 1},1586711040.0,"{'country': 'LK', 'sunrise': 1586651220, 'sunset': 1586695332}",19800.0,1224061.0,Wattegama,200,,{'3h': 0.59},
149,"{'lon': 115.83, 'lat': 22.81}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 289.42, 'feels_like': 286.06, 'temp_min': 289.42, 'temp_max': 289.42, 'pressure': 1019, 'humidity': 62, 'sea_level': 1019, 'grnd_level': 1018}",,"{'speed': 4.48, 'deg': 17}",{'all': 56},1586710836.0,"{'country': 'CN', 'sunrise': 1586728672, 'sunset': 1586774165}",28800.0,1805857.0,Jieshi,200,,,
150,,,,,,,,,,,,,404,,,city not found
151,"{'lon': -53.46, 'lat': -33.7}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 293.87, 'feels_like': 292.34, 'temp_min': 293.87, 'temp_max': 293.87, 'pressure': 1018, 'humidity': 55, 'sea_level': 1018, 'grnd_level': 1016}",,"{'speed': 2.8, 'deg': 38}",{'all': 79},1586710584.0,"{'country': 'UY', 'sunrise': 1586685252, 'sunset': 1586726060}",-10800.0,3443061.0,Chui,200,,,
152,"{'lon': -76.22, 'lat': -13.7}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 296.23, 'feels_like': 291.8, 'temp_min': 295.15, 'temp_max': 297.59, 'pressure': 1014, 'humidity': 30}",10000.0,"{'speed': 4.6, 'deg': 270}",{'all': 0},1586711041.0,"{'type': 1, 'id': 8691, 'country': 'PE', 'sunrise': 1586689836, 'sunset': 1586732398}",-18000.0,3932145.0,Pisco,200,,,
153,,,,,,,,,,,,,404,,,city not found
154,"{'lon': 164.7, 'lat': -20.97}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 297.43, 'feels_like': 300.28, 'temp_min': 297.43, 'temp_max': 297.43, 'pressure': 1015, 'humidity': 80, 'sea_level': 1015, 'grnd_level': 1014}",,"{'speed': 1.62, 'deg': 142}",{'all': 90},1586711041.0,"{'country': 'NC', 'sunrise': 1586718715, 'sunset': 1586760668}",39600.0,2137748.0,Voh,200,,,
155,"{'lon': -2.51, 'lat': 43.08}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 290.9, 'feels_like': 287.63, 'temp_min': 287.59, 'temp_max': 295.37, 'pressure': 1012, 'humidity': 59}",10000.0,"{'speed': 4.6, 'deg': 170}",{'all': 40},1586711042.0,"{'type': 1, 'id': 6438, 'country': 'ES', 'sunrise': 1586669540, 'sunset': 1586717320}",7200.0,3107337.0,Udala,200,,,
156,"{'lon': -81.44, 'lat': 26.76}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 305.65, 'feels_like': 305.54, 'temp_min': 302.59, 'temp_max': 308.15, 'pressure': 1017, 'humidity': 49}",16093.0,"{'speed': 5.7, 'deg': 150, 'gust': 9.8}",{'all': 40},1586711042.0,"{'type': 1, 'id': 4526, 'country': 'US', 'sunrise': 1586689452, 'sunset': 1586735288}",-14400.0,4161075.0,LaBelle,200,,,
157,,,,,,,,,,,,,404,,,city not found
158,"{'lon': -159.32, 'lat': 22.08}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 292.35, 'feels_like': 291.47, 'temp_min': 292.04, 'temp_max': 293.15, 'pressure': 1019, 'humidity': 77}",16093.0,"{'speed': 3.6, 'deg': 350}",{'all': 90},1586710784.0,"{'type': 1, 'id': 7873, 'country': 'US', 'sunrise': 1586708354, 'sunset': 1586753761}",-36000.0,5848280.0,Kapaa,200,,,
159,"{'lon': 122.79, 'lat': -0.95}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 299.45, 'feels_like': 301.53, 'temp_min': 299.45, 'temp_max': 299.45, 'pressure': 1010, 'humidity': 62, 'sea_level': 1010, 'grnd_level': 1009}",,"{'speed': 1.29, 'deg': 326}",{'all': 2},1586711042.0,"{'country': 'ID', 'sunrise': 1586727983, 'sunset': 1586771513}",28800.0,1637001.0,Luwuk,200,,,
160,"{'lon': 1.39, 'lat': 51.38}","[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",stations,"{'temp': 292.11, 'feels_like': 289.19, 'temp_min': 288.71, 'temp_max': 294.26, 'pressure': 1012, 'humidity': 45}",10000.0,"{'speed': 3.1, 'deg': 340}",{'all': 80},1586710879.0,"{'type': 1, 'id': 1419, 'country': 'GB', 'sunrise': 1586667867, 'sunset': 1586717122}",3600.0,2643044.0,Margate,200,,,
161,"{'lon': 2.75, 'lat': 47.83}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 296.01, 'feels_like': 294.49, 'temp_min': 294.82, 'temp_max': 296.48, 'pressure': 1010, 'humidity': 34}",,"{'speed': 0.91, 'deg': 286}",{'all': 15},1586711043.0,"{'type': 3, 'id': 2009159, 'country': 'FR', 'sunrise': 1586667887, 'sunset': 1586716449}",7200.0,2993023.0,Arrondissement de Montargis,200,,{'3h': 0.88},
162,"{'lon': 57.76, 'lat': -20.21}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 299.21, 'feels_like': 297.68, 'temp_min': 299.15, 'temp_max': 299.26, 'pressure': 1019, 'humidity': 74}",10000.0,"{'speed': 8.2, 'deg': 110}",{'all': 75},1586711043.0,"{'type': 1, 'id': 2061, 'country': 'MU', 'sunrise': 1586657936, 'sunset': 1586700000}",14400.0,1106643.0,Quatre Cocos,200,,,
163,"{'lon': 27.25, 'lat': 31.35}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 290.15, 'feels_like': 288, 'temp_min': 290.15, 'temp_max': 290.15, 'pressure': 1018, 'humidity': 63}",10000.0,"{'speed': 3.1, 'deg': 360}",{'all': 0},1586711043.0,"{'type': 1, 'id': 2517, 'country': 'EG', 'sunrise': 1586663149, 'sunset': 1586709429}",7200.0,352733.0,Marsá Maţrūḩ,200,,,
164,,,,,,,,,,,,,404,,,city not found
165,"{'lon': 173.17, 'lat': -35.17}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 291.57, 'feels_like': 287, 'temp_min': 291.57, 'temp_max': 291.57, 'pressure': 1004, 'humidity': 82, 'sea_level': 1004, 'grnd_level': 1002}",,"{'speed': 8.99, 'deg': 270}",{'all': 40},1586711043.0,"{'country': 'NZ', 'sunrise': 1586717356, 'sunset': 1586757962}",43200.0,2194098.0,Ahipara,200,,{'3h': 0.16},
166,"{'lon': 14.64, 'lat': 63.18}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 275.15, 'feels_like': 265.55, 'temp_min': 275.15, 'temp_max': 275.15, 'pressure': 991, 'humidity': 69}",10000.0,"{'speed': 10.3, 'deg': 310}",{'all': 45},1586710829.0,"{'type': 1, 'id': 1774, 'country': 'SE', 'sunrise': 1586662945, 'sunset': 1586715685}",7200.0,2685750.0,Östersund,200,,,
167,"{'lon': 110.4, 'lat': 18.8}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 292.78, 'feels_like': 290.23, 'temp_min': 292.78, 'temp_max': 292.78, 'pressure': 1017, 'humidity': 68, 'sea_level': 1017, 'grnd_level': 1016}",,"{'speed': 5.24, 'deg': 17}",{'all': 34},1586711044.0,"{'country': 'CN', 'sunrise': 1586730157, 'sunset': 1586775285}",28800.0,1791779.0,Wanning,200,,,
168,"{'lon': 161.3, 'lat': 68.75}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 262.4, 'feels_like': 255.85, 'temp_min': 262.4, 'temp_max': 262.4, 'pressure': 1012, 'humidity': 94, 'sea_level': 1012, 'grnd_level': 1012}",,"{'speed': 4.83, 'deg': 160}",{'all': 94},1586710610.0,"{'country': 'RU', 'sunrise': 1586712487, 'sunset': 1586768528}",39600.0,2126199.0,Cherskiy,200,,,
169,,,,,,,,,,,,,404,,,city not found
170,"{'lon': -151.75, 'lat': -16.48}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 301.3, 'feels_like': 302.73, 'temp_min': 301.3, 'temp_max': 301.3, 'pressure': 1016, 'humidity': 70, 'sea_level': 1016, 'grnd_level': 1008}",,"{'speed': 4.78, 'deg': 97}",{'all': 95},1586710838.0,"{'country': 'PF', 'sunrise': 1586708076, 'sunset': 1586750407}",-36000.0,4034551.0,Faanui,200,,,
171,"{'lon': 100.34, 'lat': 5.41}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 300.93, 'feels_like': 305.3, 'temp_min': 299.82, 'temp_max': 302.15, 'pressure': 1011, 'humidity': 83}",8000.0,"{'speed': 2.6, 'deg': 70}",{'all': 20},1586710684.0,"{'type': 1, 'id': 9429, 'country': 'MY', 'sunrise': 1586733124, 'sunset': 1586777147}",28800.0,1735106.0,George Town,200,,,
172,"{'lon': 8.58, 'lat': 40.8}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 294.15, 'feels_like': 290.84, 'temp_min': 294.15, 'temp_max': 294.15, 'pressure': 1018, 'humidity': 35}",10000.0,"{'speed': 3.1, 'deg': 40}",{'all': 96},1586711044.0,"{'type': 1, 'id': 6717, 'country': 'IT', 'sunrise': 1586667048, 'sunset': 1586714490}",7200.0,3166346.0,Sorso,200,,,
173,"{'lon': 14.86, 'lat': 56.17}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 288.96, 'feels_like': 282.47, 'temp_min': 288.71, 'temp_max': 289.15, 'pressure': 1005, 'humidity': 55}",10000.0,"{'speed': 8.2, 'deg': 250}",{'all': 100},1586711044.0,"{'type': 1, 'id': 1736, 'country': 'SE', 'sunrise': 1586664070, 'sunset': 1586714455}",7200.0,2701727.0,Karlshamn,200,,,
174,"{'lon': -4.9, 'lat': 50.33}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 287.81, 'feels_like': 284.05, 'temp_min': 286.48, 'temp_max': 289.15, 'pressure': 1009, 'humidity': 63}",10000.0,"{'speed': 4.6, 'deg': 140}",{'all': 75},1586711044.0,"{'type': 1, 'id': 1403, 'country': 'GB', 'sunrise': 1586669482, 'sunset': 1586718525}",3600.0,2638698.0,Saint Stephen,200,,,
175,"{'lon': 8.78, 'lat': -0.72}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 303.15, 'feels_like': 306.18, 'temp_min': 303.15, 'temp_max': 303.15, 'pressure': 1009, 'humidity': 79}",10000.0,"{'speed': 5.7, 'deg': 200}",{'all': 20},1586710818.0,"{'type': 1, 'id': 2188, 'country': 'GA', 'sunrise': 1586668946, 'sunset': 1586712496}",3600.0,2396518.0,Port-Gentil,200,,,
176,"{'lon': 44.28, 'lat': -20.28}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 298.77, 'feels_like': 301.26, 'temp_min': 298.77, 'temp_max': 298.77, 'pressure': 1014, 'humidity': 82, 'sea_level': 1014, 'grnd_level': 1014}",,"{'speed': 3.4, 'deg': 187}",{'all': 24},1586711044.0,"{'country': 'MG', 'sunrise': 1586661175, 'sunset': 1586703230}",10800.0,1058381.0,Morondava,200,,{'3h': 1.68},
177,"{'lon': -101.86, 'lat': 54.77}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",stations,"{'temp': 262.15, 'feels_like': 253.95, 'temp_min': 262.15, 'temp_max': 262.15, 'pressure': 1019, 'humidity': 56}",24140.0,"{'speed': 6.7, 'deg': 310}",{'all': 90},1586710958.0,"{'type': 1, 'id': 782, 'country': 'CA', 'sunrise': 1586692216, 'sunset': 1586742324}",-18000.0,5954718.0,Flin Flon,200,,,
178,"{'lon': 141.97, 'lat': -38.27}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 284.29, 'feels_like': 281.54, 'temp_min': 284.29, 'temp_max': 284.29, 'pressure': 1020, 'humidity': 79, 'sea_level': 1020, 'grnd_level': 1018}",,"{'speed': 3.14, 'deg': 329}",{'all': 98},1586710819.0,"{'country': 'AU', 'sunrise': 1586725024, 'sunset': 1586765268}",36000.0,2171099.0,Codrington,200,,,
